fips,QAT,ECU,SEN,NED,ENG,IRN,WAL,ARG,KSA,MEX,POL,FRA,AUS,DEN,TUN,ESP,CRC,GER,JPN,BEL,CAN,MAR,CRO,BRA,SRB,SUI,CMR,POR,GHA,URU,KOR
56043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
08101,0.0,0.0,0.0,0.0,6.0,0.0,25.0,90.0,0.0,2705.0,9.0,0.0,0.0,11.0,8.0,26.0,0.0,201.0,30.0,19.0,121.0,0.0,0.0,16.0,31.0,21.0,0.0,0.0,0.0,0.0,148.0
08069,425.0,23.0,0.0,112.0,394.0,241.0,431.0,370.0,181.0,4816.0,220.0,176.0,0.0,30.0,14.0,0.0,199.0,866.0,354.0,37.0,638.0,0.0,0.0,401.0,9.0,41.0,0.0,49.0,23.0,0.0,721.0
13177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,45.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,29.0
21081,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47177,0.0,0.0,0.0,0.0,31.0,92.0,0.0,0.0,0.0,1489.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,0.0,23.0,0.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
24047,0.0,0.0,0.0,9.0,22.0,0.0,13.0,35.0,6.0,346.0,47.0,19.0,0.0,0.0,0.0,0.0,1.0,58.0,64.0,23.0,26.0,0.0,10.0,27.0,44.0,4.0,0.0,0.0,0.0,0.0,72.0
54107,0.0,8.0,0.0,0.0,107.0,0.0,38.0,11.0,5.0,35.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,23.0,15.0,85.0,13.0,0.0,5.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,10.0
26025,0.0,27.0,0.0,27.0,28.0,5.0,10.0,0.0,0.0,931.0,0.0,20.0,0.0,0.0,0.0,1.0,1.0,222.0,102.0,41.0,110.0,16.0,0.0,30.0,0.0,0.0,22.0,4.0,0.0,9.0,219.0
